Module,Register Address,Register Name,Access,Reset Value,Bit Field,Field Name,Description,Notes
ubwc_enc_apb_reg_blk_v2,0x0018,CI_CFG1,RW,0x00000000,13:10,ubwc_cfg_3,UBWC CI configuration 3,
ubwc_enc_apb_reg_blk_v2,0x0018,CI_CFG1,RW,0x00000000,17:14,ubwc_cfg_4,UBWC CI configuration 4,
ubwc_enc_apb_reg_blk_v2,0x0018,CI_CFG1,RW,0x00000000,21:18,ubwc_cfg_5,UBWC CI configuration 5,
ubwc_enc_apb_reg_blk_v2,0x0018,CI_CFG1,RW,0x00000000,23:22,ubwc_cfg_6,UBWC CI configuration 6,
ubwc_enc_apb_reg_blk_v2,0x0018,CI_CFG1,RW,0x00000000,25:24:00,ubwc_cfg_7,UBWC CI configuration 7,
ubwc_enc_apb_reg_blk_v2,0x0018,CI_CFG1,RW,0x00000000,27:26:00,ubwc_cfg_8,UBWC CI configuration 8,
ubwc_enc_apb_reg_blk_v2,0x0018,CI_CFG1,RW,0x00000000,30:28:00,ubwc_cfg_9,UBWC CI configuration 9,
ubwc_enc_apb_reg_blk_v2,0x001C,CI_CFG2,RW,0x00000000,5:00,ubwc_cfg_10,UBWC CI configuration 10,
ubwc_enc_apb_reg_blk_v2,0x001C,CI_CFG2,RW,0x00000000,11:06,ubwc_cfg_11,UBWC CI configuration 11,
ubwc_enc_apb_reg_blk_v2,0x0020,OTF_CFG0,RW,0x00000000,15:00,width,Input image width in pixels,
ubwc_enc_apb_reg_blk_v2,0x0020,OTF_CFG0,RW,0x00000000,31:16:00,height,Input image height in pixels,
ubwc_enc_apb_reg_blk_v2,0x0024,OTF_CFG1,RW,0x00000000,15:00,tile_w,Tile width in pixels,
ubwc_enc_apb_reg_blk_v2,0x0024,OTF_CFG1,RW,0x00000000,19:16,tile_h,Tile height in pixels,
ubwc_enc_apb_reg_blk_v2,0x0024,OTF_CFG1,RW,0x00000000,22:20,format,Input OTF format,Merges REG_OTF_CFG0.format from v1 into this register
ubwc_enc_apb_reg_blk_v2,0x0028,OTF_CFG2,RW,0x00000000,15:00,a_tile_cols,A-plane tile column count,
ubwc_enc_apb_reg_blk_v2,0x0028,OTF_CFG2,RW,0x00000000,31:16:00,b_tile_cols,B-plane tile column count,
ubwc_enc_apb_reg_blk_v2,0x002C,TILE_BASE_Y_LO,RW,0x00000000,31:00:00,y_base_addr[31:0],Low 32 bits of the Y-plane compressed data base address,
ubwc_enc_apb_reg_blk_v2,0x0030,TILE_BASE_Y_HI,RW,0x00000000,31:00:00,y_base_addr[63:32],High 32 bits of the Y-plane compressed data base address,Forms the full address when AXI_AW=64
ubwc_enc_apb_reg_blk_v2,0x0034,TILE_BASE_UV_LO,RW,0x00000000,31:00:00,uv_base_addr[31:0],Low 32 bits of the UV or RGBA-plane compressed data base address,
ubwc_enc_apb_reg_blk_v2,0x0038,TILE_BASE_UV_HI,RW,0x00000000,31:00:00,uv_base_addr[63:32],High 32 bits of the UV or RGBA-plane compressed data base address,Forms the full address when AXI_AW=64
ubwc_enc_apb_reg_blk_v2,0x003C,META_BASE_Y_LO,RW,0x00000000,31:00:00,meta_y_base_addr[31:0],Low 32 bits of the Y-plane metadata base address,
ubwc_enc_apb_reg_blk_v2,0x0040,META_BASE_Y_HI,RW,0x00000000,31:00:00,meta_y_base_addr[63:32],High 32 bits of the Y-plane metadata base address,Forms the full address when AXI_AW=64
ubwc_enc_apb_reg_blk_v2,0x0044,META_BASE_UV_LO,RW,0x00000000,31:00:00,meta_uv_base_addr[31:0],Low 32 bits of the UV or RGBA-plane metadata base address,
ubwc_enc_apb_reg_blk_v2,0x0048,META_BASE_UV_HI,RW,0x00000000,31:00:00,meta_uv_base_addr[63:32],High 32 bits of the UV or RGBA-plane metadata base address,Forms the full address when AXI_AW=64
ubwc_enc_apb_reg_blk_v2,0x004C,META_ACTIVE_SIZE,RW,0x00000000,15:00,active_width_px,Metadata active-area width in pixels,Writing 0 means using the full-frame width
ubwc_enc_apb_reg_blk_v2,0x004C,META_ACTIVE_SIZE,RW,0x00000000,31:16:00,active_height_px,Metadata active-area height in pixels,Writing 0 means using the full-frame height
